0.07,58,1
0.08,53,1
0.09,56,1
0.1,55,1
0.11,59,1
0.12,59,1
0.13,56,1
0.14,51,1
0.15,65,1
0.16,54,1
0.17,65,1
0.18,62,1
0.19,64,1
0.2,63,1
0.21,64,1
0.22,61,1
0.23,60,1
0.24,63,1
0.25,64,1
0.26,62,1
0.27,59,1
0.28,56,1
0.29,61,1
0.3,60,1
0.31,58,1
0.32,59,1
0.33,56,1
0.34,60,1
0.35,58,1
0.36,59,1
0.37,78,2
0.38,78,2
0.39,77,2
0.4,78,2
0.41,76,2
0.42,84,2
0.43,77,2
0.44,86,2
0.45,73,2
0.46,71,2
0.47,87,2
0.48,88,2
0.49,85,2
0.5,82,2
0.51,78,2
0.52,85,2
0.53,84,2
0.54,77,2
0.55,85,2
0.56,78,2
0.57,88,2
0.58,78,2
0.59,79,2
0.6,82,2
0.61,83,2
0.62,84,2
0.63,76,2
0.64,85,2
0.65,83,2
0.66,85,2
